Step,Dataset,Issue,Variables Affected,Detection Method,Treatment Applied,Rows Before,Rows After,Records/Values Affected,Rationale / Business Relevance
1,NOAA,Inconsistent schema and merge-key formatting,"Column names, state, county_name, year, county_fips","Schema inspection, text review, and datatype profiling",Standardized column names; trimmed whitespace; normalized state and county text; converted year to integer; converted county FIPS to a five-character key,1200,1200,0,Consistent county-year keys are necessary to avoid false nonmatches and make the integration process reproducible.
1,ACS,Inconsistent schema and merge-key formatting,"Column names, state, county_name, year, county_fips","Schema inspection, text review, and datatype profiling",Standardized column names; trimmed whitespace; normalized state and county text; converted year to integer; converted county FIPS to a five-character key,1200,1200,0,Consistent county-year keys are necessary to avoid false nonmatches and make the integration process reproducible.
1,NFIP,Inconsistent schema and merge-key formatting,"Column names, state, county_name, year, county_fips","Schema inspection, text review, and datatype profiling",Standardized column names; trimmed whitespace; normalized state and county text; converted year to integer; converted county FIPS to a five-character key,1199,1199,0,Consistent county-year keys are necessary to avoid false nonmatches and make the integration process reproducible.
2,NOAA,Missing values,All variables,Column-level null counts and missing percentages,No source-variable imputation was required because the supplied raw files contained no missing values.,1200,1200,0,Avoids unnecessary imputation and preserves supplied observations.
2,ACS,Missing values,All variables,Column-level null counts and missing percentages,No source-variable imputation was required because the supplied raw files contained no missing values.,1200,1200,0,Avoids unnecessary imputation and preserves supplied observations.
2,NFIP,Missing values,All variables,Column-level null counts and missing percentages,No source-variable imputation was required because the supplied raw files contained no missing values.,1199,1199,0,Avoids unnecessary imputation and preserves supplied observations.
3,NOAA,Exact duplicate rows,All variables,pandas duplicated() across all columns,Removed exact duplicates,1200,1200,0,"Prevents duplicate events, claims, or socioeconomic records from being counted twice."
3,ACS,Exact duplicate rows,All variables,pandas duplicated() across all columns,Removed exact duplicates,1200,1200,0,"Prevents duplicate events, claims, or socioeconomic records from being counted twice."
3,NFIP,Exact duplicate rows,All variables,pandas duplicated() across all columns,Removed exact duplicates,1199,1199,0,"Prevents duplicate events, claims, or socioeconomic records from being counted twice."
4,NOAA,Invalid county-year merge keys,"year, county_fips","Null, datatype, and FIPS-length validation",Removed observations with unusable keys; none were found,1200,1200,0,County and year are mandatory fields for integrating the three data sources.
4,ACS,Invalid county-year merge keys,"year, county_fips","Null, datatype, and FIPS-length validation",Removed observations with unusable keys; none were found,1200,1200,0,County and year are mandatory fields for integrating the three data sources.
4,NFIP,Invalid county-year merge keys,"year, county_fips","Null, datatype, and FIPS-length validation",Removed observations with unusable keys; none were found,1199,1199,0,County and year are mandatory fields for integrating the three data sources.
5,NOAA,Values outside valid business/domain ranges,"wind_speed_mph, hail_size_inches, flood_depth_feet, storm_duration_hours, property_damage_usd",Nonnegative constraints and percentage range checks,Removed rows violating domain rules; none were found,1200,1200,0,Negative hazard/loss values and percentages outside 0–100 are not analytically valid.
5,ACS,Values outside valid business/domain ranges,"median_income_usd, population_density_per_sq_mi, housing_age_median_years, vacancy_rate_pct, homeownership_rate_pct, pct_units_pre1980",Nonnegative constraints and percentage range checks,Removed rows violating domain rules; none were found,1200,1200,0,Negative hazard/loss values and percentages outside 0–100 are not analytically valid.
5,NFIP,Values outside valid business/domain ranges,"nfip_claim_count, avg_building_payout_usd, avg_contents_payout_usd, total_nfip_payout_usd",Nonnegative constraints and percentage range checks,Removed rows violating domain rules; none were found,1199,1199,0,Negative hazard/loss values and percentages outside 0–100 are not analytically valid.
6,NOAA,Multiple NOAA events within the same county-year,event_id and hazard variables,Duplicate county_fips-year key analysis,Aggregated event counts and types; retained maximum hazard intensities; summed storm duration and property damage,1200,903,297,The county-year unit prevents ACS and NFIP values from being duplicated when records are merged.
7,ACS,Duplicate county-year keys,"year, county_fips",duplicated() on the composite county-year key,No aggregation required because the composite key was unique,1200,1200,0,A one-row-per-county-year structure is required before integration.
7,NFIP,Duplicate county-year keys,"year, county_fips",duplicated() on the composite county-year key,No aggregation required because the composite key was unique,1199,1199,0,A one-row-per-county-year structure is required before integration.
8,Merged,NOAA-to-ACS county-year alignment,"year, county_fips",Validated left join and merge indicator,Retained NOAA county-years and attached matching ACS variables,903,903,0,Preserves every observed catastrophe county-year while adding socioeconomic context.
9,Merged,NOAA county-year without a matching NFIP row,"nfip_claim_count, avg_building_payout_usd, avg_contents_payout_usd, total_nfip_payout_usd","Validated left join, merge indicator, and post-merge null review","Retained the NOAA county-year, added nfip_record_available, and assigned zero to NFIP fields for the unmatched record",903,903,1,"The availability flag preserves transparency. The valid NOAA event is not deleted, and downstream calculations remain reproducible."
10,Merged,Potential statistical outliers,"wind_speed_mph, hail_size_inches, flood_depth_feet, storm_duration_hours, property_damage_usd, nfip_claim_count, total_nfip_payout_usd, median_income_usd, population_density_per_sq_mi",1.5 × IQR rule,Retained all observations and created variable-specific outlier flags,903,903,584,Extreme catastrophe observations may represent genuine tail risk. Removing them could understate loss severity and weaken the business relevance of the analysis.
11,Merged,Analysis variables required by RQ1–RQ4 were not directly available,"total_observed_loss_usd, log_property_damage, log_total_nfip_payout, log_total_observed_loss, severity_metric, high_severity_flag, socioeconomic_resilience_index",Research-question and model-input review,"Created transparent loss, severity, classification, and resilience features",903,903,903,"The engineered variables provide consistent targets and predictors for regression, moderation, classification, and trend analysis."
12,Merged,Final analysis-readiness validation,All fields and county-year key,Programmatic assertions and validation summary,"Confirmed uniqueness, completeness, FIPS format, and target-variable validity",903,903,0,Ensures that the exported county-year dataset is reproducible and ready for EDA.
